#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk  Mount Flint- Reynolds Ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt%,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,Cr2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,H2O-,F,CO2,Total,Element,Ba,Ce,Co,Cr,Cu,Ga,La,Nb,Ni,Pb,Rb,Sr,Th,U,V,Y,Zn,Zr
9D,1,Basanite,Mount Flint summit,LeMasurier and Thomson,Table B.11.1,,wet chemistry,H.B. Wiik,,Tephra weight %,46.02,2.56,16.45,4.61,7.19,-99,0.18,7.27,9.14,4.03,1.74,0.71,0.2,0,0.1,0,100.2,tephra ppm,437,104,46,234,67,21,47,72,106,7,40,786,9,2,261,31,93,277
8A,2,Tephrite,Mount Flint summit,LeMasurier and Thomson,Table B.11.1,,wet chemistry,H.B. Wiik,,Tephra weight %,48.42,1.74,18.95,8.01,3.18,-99,0.18,3.26,7.33,5.46,2.12,0.11,0.77,0.16,0,0,99.69,tephra ppm,697,144,22,6,30,18,70,87,0,8,48,1160,9,0,193,35,79,366
14E,3,Trachyte,Reynolds Ridge,LeMasurier and Thomson,Table B.11.1,,wet chemistry,H.B. Wiik,,Tephra weight %,59.78,0.54,16.25,4.56,3.6,-99,0.26,0.31,1.49,7.31,4.91,0.07,1,0.12,0,0,100.2,tephra ppm,1750,153,12,0,12,21,81,81,2,5,52,894,2,0,119,45,123,377
8A,1,Plagioclase,P core,LeMasurier and Thomson,Table B.11.3,,WDS electron microprobe,"Y. Kawachi, U. of Otago, New Zealand",total Fe expressed as FeO,Tephra weight %,59.47,0.02,26.08,-99,0.21,-99,0.01,0.01,7.78,6.28,0.6,-99,-99,-99,-99,-99,100.46,tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8A,2,Plagioclase,P rim,LeMasurier and Thomson,Table B.11.3,,WDS electron microprobe,"Y. Kawachi, U. of Otago, New Zealand",total Fe expressed as FeO,Tephra weight %,53.38,0.08,28.09,-99,0.67,0.05,0.03,0.01,11.57,4.61,0.37,-99,-99,-99,-99,-99,98.86,tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8A,3,Plagioclase,G,LeMasurier and Thomson,Table B.11.3,,WDS electron microprobe,"Y. Kawachi, U. of Otago, New Zealand",total Fe expressed as FeO,Tephra weight %,53.88,0.11,28.24,-99,0.72,0.07,0.04,0.01,10.94,5.17,0.39,-99,-99,-99,-99,-99,99.56,tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8A,4,Olivine,P core,LeMasurier and Thomson,Table B.11.3,,WDS electron microprobe,"Y. Kawachi, U. of Otago, New Zealand",total Fe expressed as FeO,Tephra weight %,32.99,0.03,0.01,-99,49.48,0.01,0.67,16.17,0.32,0.04,0.02,-99,-99,-99,-99,-99,99.73,tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8A,5,Olivine,P rim,LeMasurier and Thomson,Table B.11.3,,WDS electron microprobe,"Y. Kawachi, U. of Otago, New Zealand",total Fe expressed as FeO,Tephra weight %,34.25,0.04,-99,-99,42.73,-99,1.79,20.23,0.39,0.03,0.02,-99,-99,-99,-99,-99,99.87,tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8A,6,Olivine,G,LeMasurier and Thomson,Table B.11.3,,WDS electron microprobe,"Y. Kawachi, U. of Otago, New Zealand",total Fe expressed as FeO,Tephra weight %,35.44,0.09,0.08,-99,34.35,0.01,1.02,27.79,0.52,0.59,0.03,-99,-99,-99,-99,-99,99.38,tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8A,7,Oxide,P,LeMasurier and Thomson,Table B.11.3,,WDS electron microprobe,"Y. Kawachi, U. of Otago, New Zealand",total Fe expressed as FeO,Tephra weight %,0.18,23.83,2.19,-99,66.04,0.04,0.52,2.02,0.03,0.13,-99,-99,-99,-99,-99,-99,94.98,tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8A,8,Oxide,G,LeMasurier and Thomson,Table B.11.3,,WDS electron microprobe,"Y. Kawachi, U. of Otago, New Zealand",total Fe expressed as FeO,Tephra weight %,0.23,9.38,2.53,-99,81.57,0.01,0.5,1.84,0.07,0.01,0.02,-99,-99,-99,-99,-99,96.17,tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
