#Data set complied for AntT data base in May 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Mount Hampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,NiO,P2O5,H2O+,H2O-,F,CO2,Total,Element,Ba,Ce,Co,Cr,Cu,Ga,La,Nb,Ni,Pb,Rb,Sr,Th,U,V,Y,Zn,Zr
23A,1,Benmoreite,Whitney Peak,LeMasurier and Thomson,Table B.6.1,,wet chemistry,H.B. Wiik,,tephra weight %,55.41,1.2,15.04,-99,4.39,6.72,0.33,0.79,4.45,5.83,3.31,-99,0.4,-99,0.36,0.05,-99,9.28,tephra ppm,1885,186,-99,0,-99,-99,62,76,8,-99,46,385,0,2,20,55,-99,422
3CA,2,Trachyte,Whitney Peak,LeMasurier and Thomson,Table B.6.1,,wet chemistry,H.B. Wiik,,tephra weight %,62.08,0.58,15.66,-99,3.72,3.37,0.2,0.2,2.32,6.1,5.02,-99,0.12,-99,-99,0.11,-99,99.48,tephra ppm,515,287,-99,30,-99,-99,96,126,9,-99,113,147,9,3,7,81,-99,834
34B,3,Q-trachyte,Whitney Peak,LeMasurier and Thomson,Table B.6.1,,wet chemistry,H.B. Wiik,,tephra weight %,62.89,0.45,15.97,-99,3.22,3.88,0.19,0.11,1.24,6.1,4.83,-99,0.07,1.02,0.11,-99,-99,100.08,tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
17,4,Basanite,Mount Hampton,LeMasurier and Thomson,Table B.6.1,,wet chemistry,H.B. Wiik,,tephra weight %,44.6,3.33,13.27,-99,4.04,8.56,0.19,8.84,9.36,3.6,1.3,-99,0.54,-99,-99,0.04,-99,97.67,tephra ppm,388,86,-99,222,-99,-99,34,46,102,-99,25,999,6,0,246,27,-99,213
22D,5,Basanite,Mount Hampton,LeMasurier and Thomson,Table B.6.1,,wet chemistry,H.B. Wiik,,tephra weight %,45.75,1.9,17.11,-99,1.5,10.61,0.19,7.5,9,3.72,1.6,-99,0.33,0.63,0.07,-99,-99,99.91,tephra ppm,471,124,47,249,49,19,60,77,123,5,41,765,8,0,237,39,103,317
20b,6,Phonolite,Mount Hampton,LeMasurier and Thomson,Table B.6.1,,wet chemistry,H.B. Wiik,,tephra weight %,55.49,2.22,19.01,-99,4.97,2.47,0.21,0.08,1.23,10.14,4.95,-99,0.06,1.5,-99,0.13,-99,100.31,tephra ppm,22,398,16,0,9,56,181,388,3,17,176,12,31,7,3,138,291,2116
25,7,Phonolite,Mount Hampton,LeMasurier and Thomson,Table B.6.1,,wet chemistry,H.B. Wiik,,tephra weight %,55.6,0.2,17.8,-99,4.6,2.5,0.1,0.99,2.1,9.2,4.8,-99,0.13,0.5,-99,0.2,0.3,99.57,tephra ppm,265,249,5,5,11,36,129,208,3,13,145,203,29,8,42,82,171,1466
21,8,Phonolite,Mount Hampton,LeMasurier and Thomson,Table B.6.1,,wet chemistry,H.B. Wiik,,tephra weight %,56.21,0.75,18.43,-99,4.31,2.79,0.23,0.27,1.53,8.85,5.28,-99,0.09,-99,0.61,0.04,-99,99.07,tephra ppm,184,415,-99,0,-99,-99,152,342,17,-99,174,51,38,5,10,136,-99,2058
,1,Olivine,Mount Hampton,LeMasurier and Thomson,Table B.6.3,,WDS electron microprobe,"Y. Kawachi, U. of Otago, New Zealand",Total Fe expressed as FeO,tephra weight %,40.96,0.03,0.02,0,-99,10.16,0.09,48.84,0.08,0.02,0.01,0.42,-99,-99,-99,-99,-99,100.64,tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
,2,Diopside,Mount Hampton,LeMasurier and Thomson,Table B.6.3,,WDS electron microprobe,"Y. Kawachi, U. of Otago, New Zealand",Total Fe expressed as FeO,tephra weight %,52.5,0.53,6.25,0.74,-99,2.6,0.08,15.62,20.86,1.38,0.04,0.1,-99,-99,-99,-99,-99,100.71,tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
,3,Enstatite,Mount Hampton,LeMasurier and Thomson,Table B.6.3,,WDS electron microprobe,"Y. Kawachi, U. of Otago, New Zealand",Total Fe expressed as FeO,tephra weight %,54.95,0.12,4.24,0.24,-99,5.95,0.07,33.34,0.72,0.1,0.03,0.05,-99,-99,-99,-99,-99,99.81,tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
,4,Spinel,Mount Hampton,LeMasurier and Thomson,Table B.6.3,,WDS electron microprobe,"Y. Kawachi, U. of Otago, New Zealand",Total Fe expressed as FeO,tephra weight %,0.13,0.11,58.16,9.02,-99,10.5,0.07,20.46,0,0.01,0,0.39,-99,-99,-99,-99,-99,98.86,tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
,5,Bronzite,Mount Hampton,LeMasurier and Thomson,Table B.6.3,,WDS electron microprobe,"Y. Kawachi, U. of Otago, New Zealand",Total Fe expressed as FeO,tephra weight %,51.26,0.3,5.17,0.05,-99,15.04,0.28,25.68,1,0.05,0.01,0.1,-99,-99,-99,-99,-99,98.94,tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
,6,Augite,Mount Hampton,LeMasurier and Thomson,Table B.6.3,,WDS electron microprobe,"Y. Kawachi, U. of Otago, New Zealand",Total Fe expressed as FeO,tephra weight %,48.13,1.23,7.56,0.08,-99,8.1,0.18,13.64,20.2,0.98,0,0.05,-99,-99,-99,-99,-99,100.15,tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
