#Data set complied for AntT data base in May 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk  Toney Mountain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,H2O-,F,CO2,Total,Element,Ba,Ce,Co,Cr,Cu,Ga,La,Nb,Ni,Pb,Rb,Sr,Th,U,V,Y,Zn,Zr,CIPW Norms,Q,or,ab,an,ne,ac,ns,di,hy,ol,mt,il,ap,Phenocrysts %,Plag,Alk-fsp,Ca-Cpx,Na-Cpx,Amph,Oliv,Groundmass %,Plag,Analc,Ca-Cpx,Na-Cpx,Apat,Oliv,Opaq,Glass/matr,% Phenocrysts
80A,1,Hawaiite,"Cox Bluff, Toney Mountain",LeMasurier and Thomson,Table B.3.1,,Wet Chemistry,H.B. Wiik,,Tephra Weight %,48.46,2.38,17.68,-99,1.55,9.56,0.19,6.04,8.47,3.99,1.3,0.52,0.49,0.07,0.07,0,99.79,Tephra ppm,399,99,35,133,44,20,40,59,66,6,32,600,8,2,163,32,69,229,Tephra Weight %,0,7.64,29.36,26.35,3.76,0,0,9.65,0,16.81,1.61,3.3,1.08,,4.8,-99,5.2,-99,-99,6.6,,45.8,-99,11.6,-99,0.4,15,10.6,-99,17.6
75,2,Benmorite,Toney Mountain,LeMasurier and Thomson,Table B.3.1,,Wet Chemistry,H.B. Wiik,,Tephra Weight %,57.19,1.22,17.24,-99,3.78,4.53,0.19,1.69,4.1,5.25,3.76,0.52,0.25,0.01,0.1,0,99.83,Tephra ppm,1328,173,21,0,25,34,83,94,4,7,84,314,14,5,66,79,109,550,Tephra Weight %,1.83,22.22,44.4,12.38,0,0,0,3.75,5.89,0,5.48,2.32,1.23,,17,-99,-99,2,-99,2.2,,58,-99,-99,7.2,0.8,3.6,9.2,-99,21.2
76A,3,Trachyte,Toney Mountain,LeMasurier and Thomson,Table B.3.1,,Wet Chemistry,H.B. Wiik,,Tephra Weight %,60.72,0.76,16.91,-99,1.9,3.56,0.14,0.55,3.13,6.14,4.59,0.2,0,0,0.04,0,98.64,Tephra ppm,909,215,-99,21,-99,-99,76,89,8,-99,90,260,12,1,15,66,-99,816,Tephra Weight %,0.61,27.14,55.19,5.03,0,0,0,7.37,1.19,0,1.99,1.06,0.42,,23.2,-99,-99,-99,-99,0.6,,58.4,0.4,-99,10.8,0.2,1,5.2,0.2,23.8
76D,4,Comendite vitrophyre,Toney Mountain,LeMasurier and Thomson,Table B.3.1,,XRF,"U. Nottingham, England",,Tephra Weight %,72.26,0.16,12.54,-99,1.87,1.7,0.07,0.09,0.27,6.11,4.21,0.02,0.42,0,0,0,99.72,Tephra ppm,12,324,0,6,4,44,137,424,8,53,420,4,65,13,7,276,396,2198,Tephra Weight %,22.85,24.87,41.06,0,0,5.41,1.04,1.07,2.65,0,0,0.3,0.05,,-99,8.8,-99,-99,0.2,-99,,-99,-99,-99,-99,-99,-99,-99,91,9
80A,1,Olivine,P Core,LeMasurier and Thomson,Table B.3.3,,WDS electron microprobe,"Y. Kawachi, U. of Otago","Total Fe expressed as FeO, G= groundmass, P= phenocryst",Tephra Weight %,39.83,0,0.05,0.08,-99,13.42,0.19,46.25,0.31,0.03,-99,-99,-99,-99,-99,-99,100.16,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80A,2,Olivine,P Rim,LeMasurier and Thomson,Table B.3.3,,WDS electron microprobe,"Y. Kawachi, U. of Otago","Total Fe expressed as FeO, G= groundmass, P= phenocryst",Tephra Weight %,35.59,0.04,0.01,0.03,-99,30.97,0.59,32.25,0.29,0,0.01,-99,-99,-99,-99,-99,99.79,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80A,3,Olivine,G,LeMasurier and Thomson,Table B.3.3,,WDS electron microprobe,"Y. Kawachi, U. of Otago","Total Fe expressed as FeO, G= groundmass, P= phenocryst",Tephra Weight %,35.05,0.07,0.04,0,-99,40.51,0.91,23.1,0.47,0.05,0.03,-99,-99,-99,-99,-99,100.21,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80A,4,Plagioclase,P Core,LeMasurier and Thomson,Table B.3.3,,WDS electron microprobe,"Y. Kawachi, U. of Otago","Total Fe expressed as FeO, G= groundmass, P= phenocryst",Tephra Weight %,55.65,0.06,27.54,0,-99,0.34,0.04,0.06,9.9,5.72,0.43,-99,-99,-99,-99,-99,99.74,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80A,5,Plagioclase,P Rim,LeMasurier and Thomson,Table B.3.3,,WDS electron microprobe,"Y. Kawachi, U. of Otago","Total Fe expressed as FeO, G= groundmass, P= phenocryst",Tephra Weight %,53.67,0.15,27.92,0,-99,0.64,0.01,0.07,11.17,5.26,0.4,-99,-99,-99,-99,-99,99.29,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
