#Data set complied for AntT data base in May 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Vulcan Hills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,,,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,LOI,Total,Q*,,,Element,Cu,Ga,Nb,Ni,Pb,Rb,Sr,Th,Y,Zn,Zr
82042,1,Basalt (gabbro),South Vulcan Hills,LeMasurier and Thomson,Table A.9.1,,XRF,P.R. Kyle,main mass of subvolcanic rocks,Tephra Weight %,47.26,3.49,16.21,13.06,0.17,4.54,9.4,3.61,1.2,1.25,0,100.19,0,,,,31,24,46,17,2,30,947,2,30,97,157
82040A,2,Hawaiite,South Vulcan Hills,LeMasurier and Thomson,Table A.9.1,,XRF,P.R. Kyle,intrusive rocks mixed with 82040B and 82042,Tephra Weight %,49.32,2.72,14.96,12.34,0.24,5.02,7.35,3.65,1.97,0.94,0.96,99.47,0,,Q* = normative quartz,,37,23,81,18,4,57,742,7,43,304,342
82051,3,Hawaiite,North Vulcan Hills,LeMasurier and Thomson,Table A.9.1,,XRF,P.R. Kyle,medium-grained irregular dike,Tephra Weight %,49.37,2.89,15.52,11.66,0.2,4.45,6.91,3.94,2.15,0.62,2.1,99.81,0,,,,28,25,79,32,2,54,918,5,38,113,346
82020,4,Hawaiite,South Vulcan Hills,LeMasurier and Thomson,Table A.9.1,,XRF,P.R. Kyle,lava flow overlying gabboric rocks,Tephra Weight %,49.8,2.22,18.48,9.93,0.18,3.07,8.2,4.12,1.6,0.97,0.87,99.44,0,,,,14,21,62,9,4,38,1056,3,33,113,259
82046,5,Intrusive mugearite,South Vulcan Hills,LeMasurier and Thomson,Table A.9.1,,XRF,P.R. Kyle,,Tephra Weight %,51.75,2.3,17.58,10.16,0.14,3.07,7.99,4.22,1.81,0.76,0,99.78,0,,,,24,26,49,13,6,50,922,6,31,99,217
82040B,6,Mugearite,South Vulcan Hills,LeMasurier and Thomson,Table A.9.1,,XRF,P.R. Kyle,intrusive rock intermixed with 82040A,Tephra Weight %,52.56,2.14,17.06,10.78,0.19,2.95,4.3,4.9,3.3,0.87,0.73,99.78,0,,,,10,29,120,11,7,78,815,9,46,191,573
82022,7,Benmoreite,South Vulcan Hills,LeMasurier and Thomson,Table A.9.1,,XRF,P.R. Kyle,porphyritic dike intruding Beacon Supergroup sediments,Tephra Weight %,52.96,1.63,16,8.04,0.14,2.1,5.5,4.05,2.61,0.68,5.75,99.46,4.1,,,,10,22,60,5,12,82,583,11,37,107,311
82050,8,Benmoreite,North Vulcan Hills,LeMasurier and Thomson,Table A.9.1,,XRF,P.R. Kyle,irreguar fine-grained dike,Tephra Weight %,58.8,1.26,15.64,8.2,0.19,1.71,3.66,4.84,3.65,0.55,1.08,99.58,5.8,,,,12,26,94,10,13,103,537,12,47,138,486
82039,9,Trachyte dike,South Vulcan Hills,LeMasurier and Thomson,Table A.9.1,,XRF,P.R. Kyle,,Tephra Weight %,59.79,0.76,15.11,6.22,0.12,1.03,3.7,5.76,2.62,0.23,4.41,99.75,7.1,,,,10,25,107,5,7,39,318,14,48,128,530
82047,10,Trachyte flow,North Vulcan Hills,LeMasurier and Thomson,Table A.9.1,,XRF,P.R. Kyle,,Tephra Weight %,62.89,0.33,17.08,4.61,0.15,0.2,0.56,6.57,5.42,0.07,1.76,99.64,1.6,,,,10,34,250,5,16,172,28,31,66,151,1321
82021,11,Trachyte dike,South Vulcan Hills,LeMasurier and Thomson,Table A.9.1,,XRF,P.R. Kyle,,Tephra Weight %,64.04,0.17,16.31,4.52,0.18,0.06,0.78,6.45,4.91,0.02,1.81,99.25,5.2,,,,10,37,321,5,20,155,26,34,104,228,1512
