Icecore,SampleID,F,Cl,Na2O,K2O,MgO,CaO,MnO,FeO,Al2O3,SiO2,SO2,TiO2,P2O5
SDMA,SipleA 33.4-33.6 mean,0.170826095271614,0.12413069727110,3.51,1.37,5.8345261883149124,12.828068828774487,.21868612884270647,11.798953353384919,15.15,44.33,.1130282064552601,3.9212352727231372,.63213133805699817
SDMA,SipleA 33.6-33.8 mean,0.172307376854016,0.318913193156515,5.99,4.91,.13740342366896005,1.2135199303098509,.27206281433694746,6.3005100129900677,16.77,63.40,.054390561670391073,.39711036672168304,.067080896504738988
SDMA,SipleA 34.4-34.7mean,0.16206153683696,0.0806035355333727,4.03,1.57,6.0233474208706603,11.696869356405266,.20452182906588387,13.131142794238817,14.81,42.74,.12685263396952531,4.6396299266485901,.78290345233544556
SDMB,SipleB 35.4-35.7 mean,0.134438390035032,0.145982285043172,4.26,1.70,5.0466438375636633,11.463388175398904,.22777428083910142,12.535144141315181,15.34,43.76,.12838340029075165,4.4274058287313034,.83057630497054002
SDMA,SipleA 36.7-37.2 mean,,.2814288796501021,2.84,4.42,.51412361214363655,2.5162508249658488,.18179206416507296,6.8371221106353683,16.32,64.94,.060794784360662664,.80153188347190385,.20637495157351368
SDMB,SipleB 63.4-63.65 mean,.15485500436992106,0.09,4.14,1.56,5.426910519488418,11.959615334651305,.2154555197741424,12.561331474128284,15.47,43.22,.12227855630475473,4.3114811870810383,.77707227088531383
SDMB,SipleB 97.2-97.45 mean,.19769093892824582,0.23,7.41,5.38,.14722129558879468,1.2015213021839197,.26515626823312283,6.5553763121975557,16.68,61.38,.033156587303931812,.45117352975670766,.076591314448245754
SDMA,SDMA-657,.36402066697980279,,3.71,2.94,2.3954908407703148,6.2000939408172862,.2465946453734148,11.953968999530296,14.78,54.38,.17613903240958201,2.0784405824330676,.77501174260216077
SDMA,SipleA filter 2433,.20367009477717282,,0.40,2.96,4.3987529404029795,2.345830203248557,.01428898394529971,5.3710444049881563,19.80,63.85,.10474662945913084,.42572679527040946,.1215551486187556
SDMA,SipleA filter 2565 mean,.14812157101100107,,6.06,5.15,.3779326149717932,2.0558277361829957,.30770056547777602,8.253672856347217,14.56,61.61,.41685913408625047,.83881320604835741,.22979338139074798
SDMA,SipleA filter 2571,0,,4.55,1.01,1.5407565263718701,3.6995205114544487,.1640916355887054,5.3383058071390526,14.46,67.88,.58817261587639857,.64571124134256797,.12999467234949388
SDMA,SipleA filter 2574-mean,.078107397529484812,,1.99,6.22,.33354156288777281,.64268284364058781,.065615299075942268,1.2769140400386711,12.82,76.40,.028543064812087966,.11960656423585014,.030115694946610212
SDMA,SDMA-2648-mean,.14069562571942351,,4.27,1.13,5.1365316540638846,8.9365837451178738,.24998116318455788,13.703057866462101,14.79,45.79,.30278748340107459,3.6866929134580353,1.8712164787721504
SDMA,SDMA 9002-9003-mean,.16642039017328306,,6.07,4.99,.40674317684966277,1.8008967832823204,.33262553752361446,8.6348798295168674,14.86,61.55,.13690563402733621,.86519961955261293,.18396806239773295
SDMA,SDMA 9004-9006-mean,.18775728263712321,,6.50,4.99,.37607896987076816,1.770615784053982,.3433924013218953,8.9343443702742267,14.76,60.93,.13869060841041719,.89034812381381856,.17179066838140022
SDMA,SDMA-9007,,,,,,,,,,,,,
SDMA,SipleA filter 8004 mean,.15880673017865385,,6.40,4.84,.043274945047095767,1.5373932676199908,.335221709490999,9.0972219375616046,14.27,62.56,.12096771184097896,.48330519379599801,.096282480173376664
SDMA,SDMA-9050 mean,.16257044492287198,,7.65,4.48,.068447631274340059,1.3732885541986104,.28390809165594838,8.717776330179257,14.23,62.24,.16348139287094296,.49990113885022192,.087691414172349089
SDMA,SDMA-9008,,,,,,,,,,,,,
SDMA,SDMA-9051,.052521008403361352,,4.49,0.47,3.6354385504201683,8.9761685924369754,.26752888655462187,12.670693277310924,17.48,50.66,.10175945378151262,.95686712184873957,.25111607142857145
SDMA,SDMA-9053 mean,.10460042263622139,,7.10,5.28,.24093036104696186,1.1286730327312364,.16071580974738275,4.7753269151725286,17.52,63.01,.10093320436320458,.46691488340323767,.094057357196037431
SDMA,SDMA-5521c mean,.27772549179511169,,7.27,4.76,.00086633812452060869,.92204475901079119,.3024683999025149,8.272183112833396,14.34,63.34,.069127803591809422,.39904565365791406,.041127432848312225
SDMA,SDMA-5540c,,,,,,,,,,,,,
SDMA,SDMA-9055,.27804961399257488,,5.12,2.02,2.9544713173959631,8.6832253755223103,.25008931761343328,9.7659101853146275,18.51,49.13,.017086847787253202,2.4247790359911137,.77512154962175894
SDMA,SDMA-5546c,0,,8.03,4.98,.15441352842408251,1.0913888222595347,.33881026625089955,9.9334372751259306,14.23,60.28,.25485727992324303,.59966418805468946,.10194291196929721
SDMA,SDMA-3027c mean,.21851719051223784,,4.67,4.94,.2900360267792168,1.8282773188060084,.36675974913130005,9.1317857410020338,14.53,62.86,.20548421391398469,.80644301945339492,.16487732050684817
SDMA,SDMA-9058 mean,.1845445371049905,,5.27,4.91,.19821212450249959,1.8320954271945944,.34558729684676653,8.5936002649640937,14.56,62.54,.41193998871645104,.77417793777590926,.16797476925178123
SDMA,SDMA-9061 mean,.18887290267880133,,6.88,4.94,.015783685571442392,1.2920735260300269,.35594829571800712,9.8395599709422665,13.63,62.01,.19283107785605125,.5794359483833077,.059637866104500149
SDMA,SDMA-5554c mean,.19833280445694815,,7.43,4.78,.047906064063194573,1.1745706637855899,.36648614596453516,9.4168696726947729,14.05,61.84,.10094467490052021,.53129217127466233,.053216360516762345
SDMA,SDMA-9062 mean,.1213829085276716,,6.26,4.65,.11146107786334949,2.0087563840246059,.29281591321588407,8.4340716852364892,14.37,62.83,.12227584935378816,.63536137401782855,.092990678078488168
SDMA,SDMA-5567c mean,.1339126220228222,,6.00,4.75,.14487780506426498,1.6075272030943992,.36173442783875753,9.5951491075188411,13.96,62.57,.1747425389754228,.59072366211961347,.12350644183335494
SDMA,SDMA-5620c mean,.31429487279562435,,6.70,4.92,.067037690458126964,1.1440496117596459,.26759431878298801,8.6932152596701417,14.08,63.15,.079176165433463383,.52235792071247888,.070518464945227274
SDMA,SDMA-5630c mean,.30094317927555286,,6.83,4.65,.11773109031523965,1.1088034863934122,.34523460915258181,8.9827483632302965,14.31,62.56,.2380053976498567,.47035061469683559,.079962510986529317
SDMA,SDMA-5635c mean,.29436738074668872,,6.82,4.76,.042702577251620494,1.1486111687719207,.32351040816175824,8.7908145866082084,14.39,62.76,.097467696861095868,.5031757688035462,.067422923832601928
SDMA,SDMA-5643c mean,.26040225544925166,,5.65,4.95,.081252200764900265,1.3733943600622085,.28532204210046425,8.4777828714562133,14.47,63.71,.15003843048047555,.53178646799575247,.062128723919776314
SDMA,SDMA-9063** mean,.26679240827315975,,7.37,4.54,.012368060164987978,1.1399456799869709,.2624728204343782,8.476612465055144,13.69,63.55,.10612364884924783,.50806587729262132,.060743126233675428
SDMA,SDMA-5683c mean,.24490613889495941,,6.69,4.86,.016070630465783924,1.1430217381759513,.30342323602959126,9.1344924597611907,13.76,63.16,.098416975837107179,.52613103787210214,.061796864159389238
SDMA,SDMA-5694 mean,.34495944163478848,,7.66,4.87,.026283971089283178,1.1070776625609655,.34681096535155165,9.2196455566830444,14.25,61.50,.096364823603692445,.52928471041622949,.055652808396409834
SDMA,SDMA-5785c mean,.32326976196748358,,7.59,4.89,.04578144434677716,1.1231358756326588,.31759314355550994,8.6487124119586305,14.60,61.84,.10768756324929435,.4563695122558552,.054625571222639197
SDMA,SDMA-9065** mean,.30599862737921057,,8.46,4.67,.040358285959776176,1.0036180193621314,.2730461961170253,7.8676524629484899,14.70,62.12,.10300352761088516,.38042212580475276,.054635137965119887
SDMA,SDMA-5824c,.24607005997364303,,8.07,4.84,.039861939447326272,1.0136674460438895,.30932497191957548,8.4579863840108729,14.98,61.51,.074105022226069864,.45383356389439067,.057140011169327216
SDMA,SDMA-5824c,.24607005997364303,,8.07,4.84,.039861939447326272,1.0136674460438895,.30932497191957548,8.4579863840108729,14.98,61.51,.074105022226069864,.45383356389439067,.057140011169327216
