#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Iles Crozet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,H2O-,Total,element,Ba,Cr,Cu,Ni,Pb,Rb,Sr,Th
,1,Oceanite,Ile de l'Est,LeMasurier and Thomson,Table F.4.1,,,,,Tephra weight %,45.81,1.89,8.96,2.35,8.6,0.16,18.89,10.72,1.66,0.7,0.26,-99,-99,100,Tephra ppm,186,1028,61,387,0.5,16,302,3
,2,Ankaramite,Ile de l'Est,LeMasurier and Thomson,Table F.4.1,,,,,Tephra weight %,46.58,2.56,12.14,4,7.75,0.16,11.5,11.64,2.24,1,0.39,-99,-99,100,Tephra ppm,255,443,91,211,2,25,442,6
,3,Alkalai basalt,Ile de l'Est,LeMasurier and Thomson,Table F.4.1,,,,,Tephra weight %,47.07,3.1,14.5,3.64,8.07,0.16,6.86,11.98,2.8,1.34,0.47,-99,-99,100,Tephra ppm,300,105,109,82,1,31,548,8
,4,Basalt,Ile aux Cochons,LeMasurier and Thomson,Table F.4.1,,,,,Tephra weight %,48.4,2,17.1,4.55,7.2,0.19,5.1,9,3.8,2.1,0.59,0.3,0.3,100.63,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99
R.9286,1,Olivine basalt flow,,LeMasurier and Thomson,Table F.4.2,,,,,Tephra weight %,42,2.9,12.9,9.85,2.75,0.2,10.8,12.4,2.3,0.55,-99,2.04,0.73,99.42,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99
R.9416,2,Picritic basalt,,LeMasurier and Thomson,Table F.4.2,,,,,Tephra weight %,43.85,2.2,10.05,5.22,5.21,0.16,15,13.5,1.5,0.35,-99,1.62,0.35,99.01,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99
R.9251,3,Ankaramite flow,,LeMasurier and Thomson,Table F.4.2,,,,,Tephra weight %,45.9,2.5,13,4.41,6.66,2.5,11.5,12.2,2,0.18,-99,0.37,0.1,100.02,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99
,4,Phonolite dike,Jeannel Pleateau,LeMasurier and Thomson,Table F.4.2,,,,,Tephra weight %,57.5,1.3,19.5,3.58,1.01,0.23,1.1,3.5,6.8,4.8,-99,0.26,0.02,99.6,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99
R.9252,5,Phonolite plug,Dome du La Perouse,LeMasurier and Thomson,Table F.4.2,,,,,Tephra weight %,63,0.04,19.1,2.5,-99,0.15,0.4,1.1,6.6,5.7,-99,0.9,0.1,99.95,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99
