#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Mount Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt% ,Wt% ,Wt% ,Wt%,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt%,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,NiO,P2O5,H2O+,H2O-,F,Total,Element,Ba,Ce,Co,Cr,Cu,Ga,La,Nb,Ni,Pb,Rb,Sr,Th,U,V,Y,Zn,Zr
BN14D,1,Porphyritic basanite,Mefford Knoll,LeMasurier and Thomson,Table b.15.1,,XRF,"U. Nottingham, England",,tephra weight %  ,44.99,2.81,14.24,-99,2.82,9.6,0.19,7.88,9.16,3.84,1.6,-99,0.78,0,0,0.07,98.98,tephra ppm,561,110,42,219,56,18,55,63,132,6,29,733,4,3,232,32,101,256
67A35,2,Porphyritic benmoreite,Wedemeyer Rocks,LeMasurier and Thomson,Table b.15.1,,XRF,"U. Nottingham, England",,tephra weight %  ,54.55,1.78,18.59,-99,0.45,7.96,0.21,2.01,4.72,5.92,3.13,-99,8.6,0.1,0.03,0.13,100.44,tephra ppm,693,175,25,0,12,30,73,105,0,9,63,562,11,1,73,58,164,541
BN31D,3,Porphyritic benmoreite,Merrem Peak,LeMasurier and Thomson,Table b.15.1,,XRF,"U. Nottingham, England",,tephra weight %  ,57.23,1.33,17.94,-99,4.26,3.89,0.2,0.82,3.78,5.6,3.06,-99,0.52,0.48,0,0,99.17,tephra ppm,761,172,10,4,8,29,82,116,0,13,13,535,10,10,55,58,138,630
BN4C,4,Phonolite,Brandenberger Bluff,LeMasurier and Thomson,Table b.15.1,,XRF,"U. Nottingham, England",,tephra weight %  ,58.09,0.31,17.63,-99,3.46,4.01,0.23,0.15,2.13,7.82,4.52,-99,0.11,0,0.48,0,98.93,tephra ppm,1435,173,0,5,4,26,92,146,0,9,64,112,10,3,8,59,139,734
BN23C,5,Trachyte,Mount Berlin summit,LeMasurier and Thomson,Table b.15.1,,XRF,"U. Nottingham, England",,tephra weight %  ,60.71,0.5,14.97,-99,5.94,2.66,0.21,0.3,1.3,7.66,4.61,-99,0.04,1.11,0,0,100.01,tephra ppm,189,203,0,7,2,41,96,198,0,14,115,10,15,5,17,77,243,1172
BN31A,6,Trachyte,Merrem Peak,LeMasurier and Thomson,Table b.15.1,,XRF,"U. Nottingham, England",,tephra weight %  ,60.81,0.57,14.8,-99,4.12,4.8,0.28,0.1,1.42,7.49,4.85,-99,0.05,0,0.2,0,99.49,tephra ppm,200,294,4,3,5,40,137,218,8,15,15,12,19,19,13,94,264,1174
BN22B,7,Pantelleritic trachyte,Mount Berlin summit,LeMasurier and Thomson,Table b.15.1,,XRF,"U. Nottingham, England",,tephra weight %  ,61.63,0.51,12.88,-99,6.92,2.57,0.28,0,1.09,8,4.69,-99,0.05,0,0.24,0.11,98.97,tephra ppm,87,365,-99,9,-99,-99,126,194,14,-99,125,5,27,4,4,111,-99,1160
BN31E,8,Pantelleritic trachyte,Merrem Peak,LeMasurier and Thomson,Table b.15.1,,XRF,"U. Nottingham, England",,tephra weight %  ,62.21,0.52,13.11,-99,2.59,6.07,0.27,0,1.09,8.75,4.71,-99,0.05,0,0,0.08,99.45,tephra ppm,72,546,-99,9,-99,-99,188,270,14,-99,-99,6,43,43,6,150,-99,1878
BN22B,1,Feldspar,P core Mount Berlin,LeMasurier and Thomson,Table B.15.3,,EDS electron microprobe,"Y. Kawachi, U. of Otago, New Zealand","Total Fe expressed as FeO G= groundmass, P= phenocryst",tephra weight %  ,64.36,0.35,21.19,0.13,-99,0.44,0,0,2.61,8.93,1.97,0,-99,-99,-99,-99,99.97,tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
