#Data set complied for AntT data base in May 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Hut Point Peninsula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,LOI,Total,,Element,Ba,Cr,Cu,La*,Lu*,Ni,Pb,Rb,Sc*,Sm*,Sr,Th,V,Y,Yb*,Zn,Zr
AW86057,1,Younger Basanite,Hurricane Ridge,Lemasurier and Thomson,Table A.22.1,,XRF,,Total Fe expressed as Fe2O3,Tephra Weight %,42.37,3.92,16.21,14.38,-99,0.2,6.82,12.1,3.21,1,0.73,-0.52,100.41,,Tephra ppm,401,86,21,39.3,0.31,44,4,25,23.7,8.67,1117,3,379,29,2.09,81,214
AW86036,2,Alkali basalt,Riviera Ridge,Lemasurier and Thomson,Table A.22.1,,XRF,,Total Fe expressed as Fe2O3,Tephra Weight %,45.26,3.74,18.33,12.17,-99,0.15,4.77,11.28,3.38,0.98,0.54,0.11,100.71,,Tephra ppm,415,66,15,-99,-99,25,3,17,-99,-99,1268,3,282,21,-99,65,165
AW86012,3,Younger Basanite,Riviera Ridge,Lemasurier and Thomson,Table A.22.1,,XRF,,Total Fe expressed as Fe2O3,Tephra Weight %,48.95,2.72,16.7,11.84,-99,0.26,3.81,7.2,5.25,2.15,1.58,-0.34,100.12,,Tephra ppm,696,14,15,-99,-99,5,-99,44,-99,-99,1591,-99,83,41,-99,81,404
77M11,4,Trachyandesite,Gandalf Ridge,Lemasurier and Thomson,Table A.22.1,,XRF,,Total Fe expressed as Fe2O3,Tephra Weight %,50.33,2.42,15.2,6.44,5.84,0.23,2.9,6.2,4.34,2.21,1.03,2.41,99.55,,Tephra ppm,908,-99,9,65.6,0.6,5,8,49,14.2,14.1,588,3,-99,50,4.7,138,373
AW86121,5,Phonotephrite flow,northern slopes of Mount Morning,Lemasurier and Thomson,Table A.22.1,,XRF,,Total Fe expressed as Fe2O3,Tephra Weight %,50.89,2.27,18.21,8.94,-99,0.2,2.71,6.4,5.89,3.29,0.7,0.32,99.82,,Tephra ppm,894,26,15,68.3,0.44,12,12,71,6.42,8.78,984,10,104,31,2.75,77,420
AW86025,6,Trachyandesite dome,Riviera Ridge,Lemasurier and Thomson,Table A.22.1,,XRF,,Total Fe expressed as Fe2O3,Tephra Weight %,54.95,1.2,17.74,9.84,-99,0.3,1.64,4.4,6.68,3.01,0.47,0.41,100.64,,Tephra ppm,1291,10,81,99.7,0.63,7,8,59,8.25,17.1,1273,8,8,50,4.11,82,559
AW86127,7,Phonolite dome,near summit of Mount Morning,Lemasurier and Thomson,Table A.22.1,,XRF,,Total Fe expressed as Fe2O3,Tephra Weight %,57.97,0.5,19.58,4.7,-99,0.21,0.57,2,8.48,5.09,0.14,0.26,99.46,,Tephra ppm,462,-99,15,99.8,0.63,10,15,145,0.69,6.92,287,26,10,34,3.92,101,822
77M27,8,Pantellerite,Gandalf Ridge,Lemasurier and Thomson,Table A.22.1,,XRF,,Total Fe expressed as Fe2O3,Tephra Weight %,63.53,0.56,12.5,7.99,0.8,0.31,0.11,0.45,6.37,4.65,0.08,1.9,99.25,,Tephra ppm,58,2,6,194.6,1.6,5,2,112,0.7,28.8,19,20,5,96,12.3,342,1626
77M80,9,Q-trachyte,Riviera Ridge,Lemasurier and Thomson,Table A.22.1,,XRF,,Total Fe expressed as Fe2O3,Tephra Weight %,63.81,0.46,16.28,2.81,1.12,0.07,0.44,1.95,4.7,5.68,0.08,2.34,99.74,,Tephra ppm,825,2,8,73.7,0.5,5,18,160,3.5,9.5,166,18,13,39,2.5,59,642
