#Data set complied for AntT data base in May 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk The Pleiades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Total,,Element,Ba,Cr,Cu,Ni,Rb,Sr,V,Zn
25679,1,Basanite,Cone 7,LeMasurier and Thomson,Table A.7.1,,,,Total Fe expressed as Fe2O3,Tephra Weight %,44.26,3.66,14.82,4.01,8.7,0.2,7.21,10.98,3.8,1.74,0.78,100.16,,Tephra ppm,356,194,52,78,40,795,252,96
25682,2,Hawaiite,Cone 11,LeMasurier and Thomson,Table A.7.1,,,,Total Fe expressed as Fe2O3,Tephra Weight %,46.11,2.41,14.35,3.3,8.35,0.21,8.94,10.04,3.84,1.48,0.59,99.62,,Tephra ppm,416,314,60,190,37,745,185,97
25685,3,Phonotephrite,Cone 12,LeMasurier and Thomson,Table A.7.1,,,,Total Fe expressed as Fe2O3,Tephra Weight %,47.58,2.96,16.97,3.53,8.08,0.24,3.51,8.15,5.8,2.67,0.99,100.48,,Tephra ppm,555,8,21,6,73,1052,115,112
25664,4,Hawaiite,Cone 4,LeMasurier and Thomson,Table A.7.1,,,,Total Fe expressed as Fe2O3,Tephra Weight %,48.44,2.85,16.19,5.11,6.33,0.2,4.72,7.82,4.41,2.33,0.89,99.29,,Tephra ppm,483,32,40,30,62,873,151,104
25703,5,Hawaiite,Aleyone Cone ,LeMasurier and Thomson,Table A.7.1,,,,Total Fe expressed as Fe2O3,Tephra Weight %,49.26,2.63,16.1,4.67,6.49,0.2,5.09,8.14,4.24,2.25,0.73,99.8,,Tephra ppm,396,94,41,45,71,758,156,105
25691,6,Tephriphonolite,Cone 8,LeMasurier and Thomson,Table A.7.1,,,,Total Fe expressed as Fe2O3,Tephra Weight %,51.76,1.15,18.96,4.39,3.86,0.25,1.22,4.58,8.34,3.85,0.39,98.75,,Tephra ppm,763,-99,12,-99,126,971,16,117
25690,7,Tephriphonolite,Cone 8,LeMasurier and Thomson,Table A.7.1,,,,Total Fe expressed as Fe2O3,Tephra Weight %,52.77,1.23,19.1,5.15,3.45,0.25,1.29,4.72,8.03,3.9,0.41,100.3,,Tephra ppm,745,-99,13,-99,126,988,22,101
25704,8,Tephriphonolite,Cone 6,LeMasurier and Thomson,Table A.7.1,,,,Total Fe expressed as Fe2O3,Tephra Weight %,53.74,1.17,18.23,5.16,4.24,0.28,1.13,4.82,7.47,3.35,0.48,100.07,,Tephra ppm,794,-99,9,-99,101,1050,6,131
25661,9,Benmoreite,Mount Pleiones,LeMasurier and Thomson,Table A.7.1,,,,Total Fe expressed as Fe2O3,Tephra Weight %,55.12,1.29,17.39,3.07,5.66,0.23,1.65,4.11,7.31,3.52,0.59,99.94,,Tephra ppm,899,5,13,5,88,643,6,110
25683,10,Phonolite,Cone 11,LeMasurier and Thomson,Table A.7.1,,,,Total Fe expressed as Fe2O3,Tephra Weight %,59.79,0.21,18.83,3.54,1.89,0.2,0.16,1.34,8.68,5.26,0.09,99.99,,Tephra ppm,633,10,8,-99,183,97,-99,115
25687,11,Trachyte,Cone 10,LeMasurier and Thomson,Table A.7.1,,,,Total Fe expressed as Fe2O3,Tephra Weight %,59.94,0.6,18.19,4.03,1.34,0.18,0.57,2.13,7.29,5.22,0.17,99.66,,Tephra ppm,869,-99,6,-99,224,415,8,81
82056,12,Peralkine trachyte pumice tephra,Mount Pleiones,LeMasurier and Thomson,Table A.7.1,,,,Total Fe expressed as Fe2O3,Tephra Weight %,62.39,0.24,16.56,4.51,-99,0.16,0.25,1.14,7.61,4.96,0.07,99.17,,Tephra ppm,10,-99,10,10,320,73,-99,192
25701,13,Peralkine trachyte ,Aleyone Cone ,LeMasurier and Thomson,Table A.7.1,,,,Total Fe expressed as Fe2O3,Tephra Weight %,63.84,0.29,16.52,2,2.88,0.17,0.14,1.3,7.21,5.32,0.07,99.74,,Tephra ppm,444,-99,9,-99,255,48,-99,106
25699,14,Peralkine trachyte ,Tatgete Cone,LeMasurier and Thomson,Table A.7.1,,,,Total Fe expressed as Fe2O3,Tephra Weight %,64.56,0.15,16.95,3.28,0.74,0.15,0.07,0.94,7.81,5.18,0.02,99.85,,Tephra ppm,26,-99,-99,-99,315,7,-99,139
