#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Amsterdam and Saint Paul islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,H2O-,Total,element,Ba,Co,Cr,Cu,Ni,Sr,V
,1,Basalt,Amsterdam Island,LeMasurier and Thomson,Table F.7.1,,,,,Tephra weight %,46,1.75,19.85,2.39,6.44,0.11,4.13,12.45,2.43,0.68,2.72,98.95,Tephra ppm,165,24,82,78,48,321,<10
,2,Feldspar-phyric basalt,Amsterdam Island,LeMasurier and Thomson,Table F.7.1,,,,,Tephra weight %,48.47,1.75,15.69,4.35,6.55,0.19,6.46,12.71,2.48,0.65,0.68,99.98,Tephra ppm,179,<10,85,50,55,333,288
,3,Olivine basalt,Amsterdam Island,LeMasurier and Thomson,Table F.7.1,,,,,Tephra weight %,49,2.22,16.7,2.25,9.52,0.27,4.9,11.01,2.88,0.85,0.09,99.69,Tephra ppm,70,40,140,100,60,260,320
,4,Basalt,Amsterdam Island,LeMasurier and Thomson,Table F.7.1,,,,,Tephra weight %,49.5,1.78,19.2,3.51,3.81,0.12,4.37,11.23,2.73,0.68,3.21,100.14,Tephra ppm,106,29,147,101,58,266,300
,5,aphyric basalt,Saint Paul Island,LeMasurier and Thomson,Table F.7.1,,,,,Tephra weight %,49.8,2.62,14,4.32,11.07,0.22,4,9.2,3.38,0.9,0.02,99.63,Tephra ppm,180,45,80,55,50,230,380
,6,Feldspar-phyric tholeiitic basalt,Saint Paul Island,LeMasurier and Thomson,Table F.7.1,,,,,Tephra weight %,50.1,2.23,14.9,6.23,5.51,0.2,4.87,10.35,3.14,0.74,0.47,98.7,Tephra ppm,144,40,109,55,60,264,283
,7,palagonitized tholeiitic tuffs,Saint Paul Island,LeMasurier and Thomson,Table F.7.1,,,,,Tephra weight %,55.66,1.84,15.08,8.78,2.9,0.21,4.12,4.04,3.7,1.14,1.9,99.37,Tephra ppm,204,35,66,26,60,140,135
,8,comendite intrusion,Saint Paul Island,LeMasurier and Thomson,Table F.7.1,,,,,Tephra weight %,72.46,-99,14.28,2.55,2.1,-99,0.15,0.84,2.67,4.29,1.52,100.86,Tephra ppm,-99,-99,-99,-99,-99,-99,-99
