#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Aukland Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Total,element,Ba,Ce,Cr,Cu,Ga,La,Nb,Ni,Pb,Rb,Sc,Sr,Th,V,Y,Zn,Zr
,1,Olivine basalt flow,"western Cliffs, Ross Volcano",LeMasurier and Thomson,Table G.2.1,,wet chemistry,,,Tephra weight %,41.2,4.6,14.2,3.3,11.5,0.16,9.2,11,2.1,0.75,0.34,99.85,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
,2,Olivine basalt flow,"western Cliffs, Ross Volcano",LeMasurier and Thomson,Table G.2.1,,wet chemistry,,,Tephra weight %,44,2.8,13.8,2.08,10.42,0.38,11.1,11.4,2.1,0.38,0.33,99.99,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
,3,Olivine basalt flow,"Fleming plateau, Carnley Volcano",LeMasurier and Thomson,Table G.2.1,,XRF,,,Tephra weight %,45.85,3.12,14.59,3.43,9.4,0.19,7.95,9.6,2.74,1.04,0.59,99.89,Tephra ppm,322,82,222,65,21,37,61,149,<2,21,22,698,6,268,33,114,229
,4,Olivine basalt flow,"Coleridge Bay, Carnley Volcano",LeMasurier and Thomson,Table G.2.1,,XRF,,,Tephra weight %,46.34,2.75,11.88,3.18,8.99,0.15,8.93,9.77,2.78,0.8,0.47,99.56,Tephra ppm,206,56,305,64,19,24,42,201,2,13,24,508,5,222,29,121,183
,5,Olivine basalt flow,"Ewing Island, Ross Volcano",LeMasurier and Thomson,Table G.2.1,,wet chemistry,,,Tephra weight %,47,2.5,11.9,3.3,8.2,0.13,11.1,9.1,2.5,0.9,0.5,100.28,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
,6,Olivine hawaiite flow,"Adams Island, Carnley Volcano",LeMasurier and Thomson,Table G.2.1,,XRF,,,Tephra weight %,52.73,2.18,16.43,4.34,5.5,0.13,2.8,6.45,3.59,2.53,0.79,99.8,Tephra ppm,513,131,9,14,26,63,74,11,12,77,14,583,12,158,43,123,392
,7,Trachyte flow,Carnley Volcano,LeMasurier and Thomson,Table G.2.1,,XRF,,,Tephra weight %,66.23,0.54,14.59,1.6,4.52,0.06,0.37,0.69,3.08,5.12,0.11,99.31,Tephra ppm,765,181,2,4,29,86,105,29,22,182,13,161,24,3,59,160,631
,8,Rhyolite dome,Carnley Volcano,LeMasurier and Thomson,Table G.2.1,,XRF,,,Tephra weight %,72.06,0.4,14.46,1.38,0.28,0.01,0.08,1.24,3.87,5.09,0.05,99.62,Tephra ppm,754,224,<2,2,28,113,106,2,25,196,10,227,24,<2,64,148,590
,9,Rhyolite,Ross Volcano,LeMasurier and Thomson,Table G.2.1,,wet chemistry,,,Tephra weight %,73.3,0.58,14.2,0.33,1.66,0.02,0.05,0.24,4.4,4.8,0.06,100.47,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
