#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Beethoven Peninsila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Total,Element,Ba,Ce,Cr,Eu,Hf,La,Lu,Nb,Nd,Ni,Rb,Sm,Sr,Ta,Tb,Th,V,Y,Yb,Zr
T.565.1,1,Hawaiite,Gluck Peak,LeMasurier and Thomson,Table C.4.1,R.G.B. Renner,XRF,A.B. Moyes,,Tephra weight %,48.66,2.39,17.14,1.28,8.48,0.17,5.46,9.96,4.01,1.71,0.44,99.7,Tephra ppm,205,-99,102,-99,-99,27,-99,32,-99,29,14,-99,604,-99,-99,-99,250,25,-99,190
KG.3627.8,2,Hawaiite,Gluck Peak,LeMasurier and Thomson,Table C.4.1,,XRF,,,Tephra weight %,49.7,2.21,16.71,1.23,8.23,0.13,5.26,9.89,3.82,1.71,0.5,99.53,Tephra ppm,138,41.01,107,2.08,4.03,22.9,0.3,32,28.66,25,15,5.87,621,2.23,0.98,3.12,-99,23,2.19,196
KG.1513.2,3,Potassic trachybasalt,Mussorgsky Peaks,LeMasurier and Thomson,Table C.4.1,C.M. Bell,XRF,A.B. Moyes,,Tephra weight %,50.23,1.96,15.38,0.68,9.01,0.16,8.09,8.53,3.54,1.57,0.35,100.5,Tephra ppm,222,-99,275,-99,-99,22,-99,27,-99,75,18,-99,463,-99,-99,3,184,24,-99,167
KG.3620.7,4,Basalt pillow lava,Musskorgsky Peaks,LeMasurier and Thomson,Table C.4.1,,XRF,,,Tephra weight %,50.67,1.86,15.16,1.24,8.29,0.14,7.94,8.56,3.31,1.53,0.38,99.08,Tephra ppm,172,40.73,294,1.61,4.24,23.9,0.26,24,19.77,108,19,4.99,475,1.53,0.76,3.22,-99,22,1.74,173
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
