#Data set complied for AntT data base in May 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk  Crary Mountains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,Wt% ,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,H2O-,F,CO2,Total,Element,Ba,Ce,Co,Cr,Cu,Ga,La,Nb,Ni,Pb,Rb,Sr,Th,U,V,Y,Zn,Zr
73,1,Basanite,Mount Steere,LeMasurier and Thomson,Table B.4.1,,wet chemistry,H.B. Wiik,,Tephra Weight %,44.99,2,17.67,11.75,3.46,0.21,3.85,8.43,4.47,1.15,0.23,2.01,0.3,0,0,100.52,Tephra ppm,330,78,43,9,14,20,37,49,0,0,26,559,2,0,295,30,98,167
70,2,Basanite,Mount Frakes,LeMasurier and Thomson,Table B.4.1,,wet chemistry,H.B. Wiik,,Tephra Weight %,45.82,2.06,17.33,2.8,8.29,0.2,8.1,8.67,4.29,1.54,1.04,0.3,0,0.1,0,100.54,Tephra ppm,369,96,37,319,63,19,45,66,107,6,34,713,1,0,205,29,77,233
71A,3,Phonolite,Mount Frakes,LeMasurier and Thomson,Table B.4.1,,XRF,"U. Nottingham, England",,Tephra Weight %,55.26,0.4,20.63,3.31,2.96,0.24,0.57,1.4,10.06,4.79,0.19,0.42,0,0.16,0,100.39,Tephra ppm,400,248,0,0,9,32,138,320,0,14,145,68,28,7,12,86,154,919
69A,4,Phonolite,Mount Steere,LeMasurier and Thomson,Table B.4.1,,XRF,"U. Nottingham, England",,Tephra Weight %,58.82,0.41,20.09,5,1.11,0.13,0.44,2.64,7.69,3.68,0.18,0.3,0,0.07,0,100.56,Tephra ppm,969,134,4,8,18,25,80,115,2,14,109,418,19,6,13,27,73,536
71A,1,Feldspar,P Core,LeMasurier and Thomson,Table B.4.3,,EDS electron microprobe,"Y. Kawachi, U. of Otago, New Zealand","Total Fe expressed as FEO, P= phenocrysts, M= microhenocrysts",Tephra Weight %,66.51,0.14,21.03,-99,-99,-99,-99,1.22,8.52,3.18,-99,-99,-99,-99,-99,100.61,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
71A,2,Feldspar,P Rim,LeMasurier and Thomson,Table B.4.3,,EDS electron microprobe,"Y. Kawachi, U. of Otago, New Zealand","Total Fe expressed as FEO, P= phenocrysts, M= microhenocrysts",Tephra Weight %,65.19,-99,21.41,-99,-99,-99,-99,1.82,8.05,3.17,-99,-99,-99,-99,-99,99.64,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
71A,3,Feldspar,M,LeMasurier and Thomson,Table B.4.3,,EDS electron microprobe,"Y. Kawachi, U. of Otago, New Zealand","Total Fe expressed as FEO, P= phenocrysts, M= microhenocrysts",Tephra Weight %,67,-99,20.21,-99,-99,-99,-99,0.58,7.6,4.95,-99,-99,-99,-99,-99,100.34,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
71A,4,Nepheline,M,LeMasurier and Thomson,Table B.4.3,,EDS electron microprobe,"Y. Kawachi, U. of Otago, New Zealand","Total Fe expressed as FEO, P= phenocrysts, M= microhenocrysts",Tephra Weight %,46.79,-99,32.55,-99,0.51,-99,0.17,0.28,16.41,3.66,-99,-99,-99,-99,-99,100.37,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
71A,5,Cpx,M,LeMasurier and Thomson,Table B.4.3,,EDS electron microprobe,"Y. Kawachi, U. of Otago, New Zealand","Total Fe expressed as FEO, P= phenocrysts, M= microhenocrysts",Tephra Weight %,51.34,0.16,0.82,-99,16.47,0.91,7.39,21.86,0.64,-99,-99,-99,-99,-99,-99,99.59,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
