#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Deception Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,Total,Element,Ba,Ce,Co,Cr,Ga,La,Li,Nb,Ni,Pb,Rb,Sr,Th,V,Y,Zn,Zr
B.432.1,1,Almost aphyric basalt,Neptunes Bellows,LeMasurier and Thomson,,,XRF,,,Tephra weight %,51.7,1.65,17.3,1.95,6.72,0.15,5.96,10.2,4.06,0.44,0.24,0.21,100.58,Tephra ppm,100,-99,18,-99,-99,-99,12,-99,-99,-99,5,415,-99,165,26,-99,150
B.403.1,2,Almost aphyric basalt,Baily Head,LeMasurier and Thomson,,,XRF,,,Tephra weight %,51.7,2.34,15.6,2.04,8.87,0.19,4.86,8.75,3.74,0.51,0.37,0.12,99.09,Tephra ppm,125,-99,28,-99,-99,-99,13,-99,-99,-99,7,350,-99,240,30,-99,195
B.119.1,3,Basalt (mugearite),Deception Island,LeMasurier and Thomson,,,XRF,,,Tephra weight %,52.46,2.44,15.12,12.16,-99,0.21,4.08,8.37,5.09,0.48,0.33,-99,100.74,Tephra ppm,89,31,-99,20,24,12,-99,6,9,5,5.6,357,1,-99,28,87,214
B.416.1,4,Almost aphyric basalt,Mount Kirkwood,LeMasurier and Thomson,,,XRF,,,Tephra weight %,53.2,1.81,17.1,2.08,7.05,0.17,5.25,9.32,3.41,0.51,0.29,0.04,100.23,Tephra ppm,175,-99,40,-99,-99,-99,-99,-99,-99,-99,6,360,-99,140,27,-99,165
B.311.1,5,Scoriaceous basaltic andesite(Hawaiite),Telefon Ridge,LeMasurier and Thomson,,,XRF,,,Tephra weight %,54.2,2.34,15.3,4.2,6.39,0.18,3.86,7.12,4.27,0.77,0.37,0.08,99.08,Tephra ppm,160,-99,40,40,-99,-99,16,-99,15,-99,8,365,-99,270,37,-99,225
B.707.1,6,Andesite (benmoreite) bomb,Telefon Bay,LeMasurier and Thomson,,,XRF,,,Tephra weight %,58,1.91,15.9,2.38,6,0.18,2.72,5.73,5.46,0.98,0.37,0.37,100,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,13,320,-99,-99,40,-99,305
B.276.1,7,Andesite (benmoreite) bomb,Telefon Bay,LeMasurier and Thomson,,,XRF,,,Tephra weight %,61,1.26,15.7,1.19,5.5,0.17,1.71,4.11,6.23,1.23,0.42,0.18,98.7,Tephra ppm,250,-99,30,25,-99,-99,30,-99,10,-99,17,270,-99,55,46,-99,370
B.184.1,8,Andesite (benmoreite),Deception Island,LeMasurier and Thomson,,,XRF,,,Tephra weight %,61.91,1.26,15.32,7.25,-99,0.21,1.35,3.57,6.7,1.21,0.41,-99,99.19,Tephra ppm,199,61,-99,9,24,25,-99,13,3,12,20,255,4,-99,66,123,457
B.431.1,9,Dacite (trachyte),Collins Point,LeMasurier and Thomson,,,XRF,,,Tephra weight %,62.6,1.14,15.6,0.31,6.15,0.17,1.45,3.59,6.66,1.44,0.37,0.29,99.77,Tephra ppm,340,-99,9,-99,-99,-99,44,-99,-99,-99,21,240,-99,40,50,-99,410
B.429.2,10,Porphyritic dacite (trachyte),Cross Hill,LeMasurier and Thomson,,,XRF,,,Tephra weight %,67.5,0.72,14.8,1.39,3.16,0.15,0.7,1.98,6.96,1.8,0.16,0.27,99.59,Tephra ppm,340,-99,5,-99,-99,-99,48,-99,-99,-99,29,135,-99,-99,57,-99,535
B.317.1,11,Aphyric rhyodacite (silica rich dacite),Deception Island,LeMasurier and Thomson,,,XRF,,,Tephra weight %,70.1,0.5,14.31,4.32,-99,0.13,0.9,3.46,4.88,0.65,0.08,-99,99.33,Tephra ppm,68,22,-99,20,6,10,-99,3,6,9,14,117,2,-99,36,101,178
