#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Iles Kerguelen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,H2O-,Total,element,Ba,Co,Cr,Cu,Nd,Ni,Pb,Rb,Sm,Sr,Th,V
K72,1,Alkalai olivine basalt flow,Gallieni unit,LeMasurier and Thomson,Table F.5.1,,,,,Tephra weight %,45.5,3.2,16.5,4.68,8.4,0.19,6.9,8.3,2.8,1.1,-99,1,0.69,99.16,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
,2,Basanite,Eastern Iles Kerguelen,LeMasurier and Thomson,Table F.5.1,,,,,Tephra weight %,45.75,3.26,12.4,2,8.93,0.21,10.75,9.85,3.53,2.2,1.06,-99,-99,100,Tephra ppm,651,-99,-99,-99,43,-99,-99,67,8,1081,-99,-99
K138,3,Alkalai basalt flow,Peninsule Ronarc'h,LeMasurier and Thomson,Table F.5.1,,,,,Tephra weight %,46.8,3.5,16.9,5.7,7.39,0.15,4.6,6.1,3.5,1.85,-99,1.54,1.11,99.14,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
,4,Transitional tholeiites of basal series,Northern Iles Kerguelen,LeMasurier and Thomson,Table F.5.1,,,,,Tephra weight %,49,2.12,16.46,2,10.49,0.17,7.14,10.36,2.54,0.48,0.23,-99,-99,100,Tephra ppm,-99,-99,143,82,28,100,1,18,6,560,2,-99
K107,5,Phonolite flow,Peninsule Ronarc'h,LeMasurier and Thomson,Table F.5.1,,,,,Tephra weight %,54.55,0.5,21.45,2.29,1.45,0.13,0.47,1.1,9.2,6.5,-99,0.87,0.16,99.07,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
,6,Alkali trachyte,Iles Kerguelen,LeMasurier and Thomson,Table F.5.1,,,,,Tephra weight %,57.86,0.4,18.48,1.98,3.27,0.07,0.94,0.51,5.77,5.05,0.4,3.8,1.3,99.8,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,271,-99,1535,-99,-99
,7,Thrachyphonolite,Southern Gallieni unit,LeMasurier and Thomson,Table F.5.1,,,,,Tephra weight %,60.3,0.25,18.29,2.86,2.61,0.18,0.24,1.71,6.72,6.13,-99,0.37,0.17,99.83,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
K24,8,Trachyte flow,Gallieni unit,LeMasurier and Thomson,Table F.5.1,,,,,Tephra weight %,61.4,0,18.5,3.28,1.01,0.18,0.03,0.7,8,5.6,-99,0.85,0.28,99.83,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
,9,Syenite,Peninsule Rallier du Baty,LeMasurier and Thomson,Table F.5.1,,,,,Tephra weight %,65.22,0.6,15.82,2.76,1.46,0.12,0.48,0.61,5.8,5.79,-99,-99,0.71,99.37,Tephra ppm,<125,27,<24,<18,66,<19,-99,64,13,765,-99,<10
,10,Rhyolite,Northern Iles Kerguelen,LeMasurier and Thomson,Table F.5.1,,,,,Tephra weight %,1.57,0.3,14.76,1.63,1.38,0.05,0.46,0.74,4.15,4.96,0.27,-99,-99,100,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,57,-99,404,-99,-99
