#Data set complied for AntT data base in May 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Malta Plateau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,SO3,LOI,Trace,Total,,Element,As,Ba,Bi,Ce,Co,Cr,Cu,La,Mo,Nb,Ni,Pb,Rb,Sc,Sn,Sr,Ta,Th,U,V,W,Y,Zn,Zr
VC-44,1,Basanite,lower Mariner Glacier,LeMasurier and Thomson,Table A.6.1,,XRF,,,Tephra Weight %,42.44,4.51,14.36,15.46,0.21,5.75,11.26,3.34,0.37,1.15,-99,1.06,-99,99.91,,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
82089,2,Basanite,lower Mariner Glacier,LeMasurier and Thomson,Table A.6.1,,XRF,,,Tephra Weight %,44.92,2.58,15.26,12.53,0.22,6.23,9.34,4.42,1.7,0.8,-99,1.97,-99,99.97,,Tephra ppm,-99,-99,-99,-99,-99,-99,50,-99,-99,99,92,2,48,-99,-99,1030,-99,7,-99,-99,-99,33,94,284
82107,3,Basalt,lower Mariner Glacier,LeMasurier and Thomson,Table A.6.1,,XRF,,,Tephra Weight %,48.73,2.48,13.87,12.34,0.17,9.41,9.63,2.62,0.87,0.31,-99,-99,-99,100.43,,Tephra ppm,-99,-99,-99,-99,-99,-99,15,-99,-99,32,83,3,22,-99,-99,469,-99,3,-99,-99,-99,24,93,177
3200,4,Peralkaline trachyte,Malta Plateau,LeMasurier and Thomson,Table A.6.1,,,,,Tephra Weight %,60.5,0.75,14.17,8.65,0.29,0.28,1.51,6.24,5.01,0.1,0.13,1.75,0.21,99.59,,Tephra ppm,-99,242,-99,190,4,9,17,93,10,117,9,5,50,8,22,24,9,8,3,7,-99,53,207,559
3204,5,Aegirine-bearing peralkaline Q-Trachyte,north of Cape Crossfire,LeMasurier and Thomson,Table A.6.1,,,,,Tephra Weight %,63.74,0.56,12.94,7.9,0.25,0.08,1.35,4.9,5.02,0.03,0.3,2,0.27,99.34,,Tephra ppm,-99,14,-99,271,20,18,32,144,12,157,11,13,147,-99,22,17,15,21,6,3,-99,89,253,866
3297,6,Aegirine-bearing peralkaline Q-Trachyte,north of Tur Peak,LeMasurier and Thomson,Table A.6.1,,,,,Tephra Weight %,65.95,0.49,12.87,6.75,0.16,0,0.85,5.53,4.83,0.04,0.16,1.63,0.18,99.44,,Tephra ppm,-99,21,-99,187,9,10,-99,71,8,99,-99,14,96,3,-99,5,9,13,-99,6,-99,59,191,566
3265,7,Aegirine-bearing peralkaline Q-Trachyte,Malta Plateau,LeMasurier and Thomson,Table A.6.1,,,,spot height 2900m,Tephra Weight %,65.96,0.34,15.14,4.66,0.13,0.13,1.12,5.96,5.11,0.06,0.17,0.25,0.29,99.32,,Tephra ppm,-99,307,9,200,9,16,12,111,12,188,8,150,236,6,25,66,17,33,9,16,-99,59,152,726
3269,8,Peralkaline rhyolite,Malta Plateau,LeMasurier and Thomson,Table A.6.1,,,,spot height 3080m,Tephra Weight %,67.88,0.21,14.49,3.88,0.11,0,0.85,5.85,5.15,0.01,0.17,0.5,0.34,99.44,,Tephra ppm,-99,-99,-99,463,14,14,169,245,19,181,8,200,216,-99,25,4,15,43,12,8,-99,74,170,863
3214,9,Peralkaline rhyolite,north of Tur Peak,LeMasurier and Thomson,Table A.6.1,,,,,Tephra Weight %,68.16,0.41,12.55,6.01,0.05,0.01,0.34,5.26,4.99,0.02,0.14,1.5,0.28,99.72,,Tephra ppm,-99,138,-99,277,11,3,-99,155,4,147,-99,22,142,-99,-99,7,12,19,5,-99,-99,96,269,910
3213,10,Peralkaline rhyolite,north of Tur Peak,LeMasurier and Thomson,Table A.6.1,,,,,Tephra Weight %,68.36,0.41,12.83,5.88,0.09,0,0.46,5.62,4.97,0.01,0.13,63,0.26,99.65,,Tephra ppm,-99,123,-99,195,-99,15,20,113,4,149,7,13,138,-99,24,10,16,20,-99,7,-99,51,176,950
3199,11,Peralkaline rhyolite,north of Tur Peak,LeMasurier and Thomson,Table A.6.1,,,,,Tephra Weight %,68.51,0.43,9.86,7.71,0.21,0,0.4,6.64,4.66,0.02,0.14,0.38,0.37,99.33,,Tephra ppm,-99,4,-99,362,9,10,28,172,16,210,8,18,154,-99,-99,4,19,26,9,6,-99,125,347,1351
3264,12,Peralkaline rhyolite,Malta Plateau,LeMasurier and Thomson,Table A.6.1,,,,spot height 2900m,Tephra Weight %,69.06,0.24,13.66,4.03,0.1,0.08,0.68,5.62,4.74,0.03,0.3,0.5,0.33,99.37,,Tephra ppm,-99,132,-99,213,18,16,17,70,11,267,9,49,358,3,29,33,23,47,14,9,8,58,194,1001
3294,13,Peralkaline rhyolite,north of Tur Peak,LeMasurier and Thomson,Table A.6.1,,,,,Tephra Weight %,69.42,0.25,9.14,9.21,0.26,0.01,0.32,3.54,3.93,0.01,0.17,2.88,0.44,99.58,,Tephra ppm,-99,-99,6,422,-99,7,7,210,17,280,10,38,133,-99,42,6,22,41,9,18,-99,133,492,1519
82105,14,Peralkaline rhyolite,lower Mariner Glacier,LeMasurier and Thomson,Table A.6.1,,XRF,,,Tephra Weight %,70.52,0.16,13.63,2.94,0.06,0.02,0.74,4.21,6.44,0.01,-99,0.93,-99,99.66,,Tephra ppm,-99,-99,-99,-99,-99,-99,10,-99,-99,149,-99,24,306,-99,-99,12,-99,36,-99,-99,-99,91,148,719
3283,15,Peralkaline rhyolite,Mount Phillips,LeMasurier and Thomson,Table A.6.1,,,,,Tephra Weight %,71.93,0.33,10.13,5.64,0.13,0,0.36,5.5,4.72,0.01,0.17,0.13,0.42,99.47,,Tephra ppm,-99,-99,-99,385,10,7,30,196,26,247,6,28,259,2,35,7,21,38,12,7,6,122,281,1512
3285,16,Peralkaline rhyolite,Mount Phillips,LeMasurier and Thomson,Table A.6.1,,,,,Tephra Weight %,72.18,0.33,10.33,5.72,0.13,0,0.29,4.67,4.74,0.01,0.19,0.38,0.4,99.37,,Tephra ppm,-99,-99,-99,347,7,16,54,103,9,245,-99,32,259,-99,30,6,19,40,3,14,-99,84,291,1518
NR2363,17,Aegririne syenite,No Ridge,LeMasurier and Thomson,Table A.6.2,,,,total Fe expressed as Fe2O3,Tephra Weight %,61.78,0.55,15.37,6.13,0.19,0.29,0.99,7.74,5.05,0.1,0.01,0.58,0.13,99.41,,Tephra ppm,17,12,16,137,20,4,23,85,8,68,6,14,76,7,20,8,-99,-99,11,-99,-99,43,104,343
FT1348,18,Aegririne arfvedsonite syenite,No Ridge,LeMasurier and Thomson,Table A.6.2,,,,total Fe expressed as Fe2O3,Tephra Weight %,62.49,0.68,16.26,5.7,0.15,0.43,1.65,6.69,4.68,0.15,0.02,0.75,0.21,99.86,,Tephra ppm,-99,784,7,135,-99,-99,54,67,12,57,7,8,58,10,-99,95,-99,-99,9,-99,-99,38,90,343
FT1353,19,Aegririne arfvedsonite syenite,No Ridge,LeMasurier and Thomson,Table A.6.2,,,,total Fe expressed as Fe2O3,Tephra Weight %,62.54,0.69,16.02,5.22,0.18,0.28,0.9,7.46,5.16,0.1,0.04,0.79,0.2,99.58,,Tephra ppm,-99,35,7,224,2,-99,141,113,7,111,1,55,83,3,22,13,-99,13,13,-99,-99,65,122,546
FT1342,20,Biotite alkali feldspar granite,Eagle's Bluff,LeMasurier and Thomson,Table A.6.2,,,,total Fe expressed as Fe2O3,Tephra Weight %,74.38,0.1,13.22,1.55,0.02,0.04,0.36,4.38,4.85,0.01,0.02,0.63,0.1,99.66,,Tephra ppm,17,18,10,113,19,-99,8,57,7,46,-99,21,203,2,-99,13,-99,28,11,5,-99,44,24,166
FT1343b,21,Granophyric biotite alkali feldspar granite,Engberg Bluff,LeMasurier and Thomson,Table A.6.2,,,,total Fe expressed as Fe2O3,Tephra Weight %,75.44,0.09,12.47,1.36,0.02,0.03,0.48,4.14,4.7,0.01,0.03,0.63,0.12,99.52,,Tephra ppm,-99,16,1,119,12,-99,8,61,10,88,5,21,265,-99,21,6,-99,32,12,-99,-99,73,39,157
FT1338,22,Aegririne granite,Oakley Glacier,LeMasurier and Thomson,Table A.6.2,,,,total Fe expressed as Fe2O3,Tephra Weight %,75.7,0.23,12,2.38,0.06,0.08,0.12,4.66,4.13,0.01,0.01,0.44,0.05,99.87,,Tephra ppm,14,4,11,64,18,-99,12,33,8,16,5,12,49,2,-99,4,-99,-99,6,-99,-99,13,48,44
FT1343a,23,Granophyric biotite alkali feldspar granite,Engberg Bluff,LeMasurier and Thomson,Table A.6.2,,,,total Fe expressed as Fe2O3,Tephra Weight %,75.79,0.12,12.45,1.61,0.02,0.05,0.44,3.88,4.74,0.01,0.02,0.53,0.11,99.77,,Tephra ppm,6,22,10,161,9,-99,10,78,11,75,-99,24,173,2,22,10,-99,27,9,10,10,61,61,135
