#Data set complied for AntT data base in May 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Mount Melbourne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,CO2,Total,,Element,Ba,Co,Cr,Cu,Nb,Ni,Rb,Sr,Y,Zn,Zr
13-140,1,Basanite/tephrite,Cape Washington ridge,LeMasurier and Thomson,Table A.10.1,,XRF,,,Tephra Weight %,42.14,3.75,12.93,3.02,10.43,0.21,9.15,9.92,3.94,1.71,0.95,0.23,0.02,98.37,,ppm,640,51,177,55,101,187,51,1050,37,139,382
08-034,2,Basanite/tephrite,Oscar Point ridge,LeMasurier and Thomson,Table A.10.1,,XRF,,,Tephra Weight %,43.8,4.47,15.95,3.52,10.09,0.18,6.13,9.47,3.16,0.84,0.84,0.44,0.01,99.17,,ppm,429,46,52,46,47,58,22,922,22,108,166
10-016,3,Alkali basalt,Shield Nunatak,LeMasurier and Thomson,Table A.10.1,,XRF,,,Tephra Weight %,45,2.87,13.34,2.63,9.06,0.17,9.86,11.74,2.26,0.73,0.62,0.21,0.02,98.5,,ppm,297,49,432,74,37,178,22,621,20,90,141
01-129,4,Basanite/tephrite,Cape Washington ridge,LeMasurier and Thomson,Table A.10.1,,XRF,,,Tephra Weight %,46.3,3.28,15.68,3.4,9.18,0.2,5.23,7.1,4.41,2.09,1.13,0.98,0.05,98.89,,ppm,654,35,51,32,103,55,50,1134,38,144,530
31-253,5,Hawaiite,Mount Melbourne summit,LeMasurier and Thomson,Table A.10.1,,XRF,,,Tephra Weight %,48.9,3.39,15.87,5.51,6.23,0.19,3.99,8.73,3.65,1.71,0.62,0.26,0.01,99.04,,ppm,661,31,47,32,68,24,49,684,29,121,267
02-070,6,Trachyte,Edmonson Point,LeMasurier and Thomson,Table A.10.1,,XRF,,,Tephra Weight %,59.5,0.76,16.24,1.26,6.48,0.21,0.6,3.02,5.81,4.16,0.2,0.25,0.02,98.53,,ppm,1306,3,16,10,134,4,105,371,54,153,556
04-173a,7,Trachyte,Mount Melbourne summit,LeMasurier and Thomson,Table A.10.1,,XRF,,,Tephra Weight %,63.1,0.52,15.55,2.81,3.1,0.15,0.21,1.97,5.58,4.68,0.08,0.22,0.03,97.96,,ppm,1047,3,16,15,166,4,152,186,64,153,719
09-188,8,Trachyte,Mount Melbourne summit,LeMasurier and Thomson,Table A.10.1,,XRF,,,Tephra Weight %,64,0.38,14.89,2.97,2.66,0.17,0.02,1.55,5.74,4.67,0.05,0.36,0.02,97.49,,ppm,1491,3,15,11,157,5,137,89,63,160,679
16-231,9,Trachyte,Mount Melbourne summit,LeMasurier and Thomson,Table A.10.1,,XRF,,,Tephra Weight %,64.2,0.32,14.11,2.41,2.85,0.16,0.04,1.18,5.95,4.8,0.03,1.25,0.03,97.32,,ppm,184,3,15,8,176,5,146,14,75,190,755
