#Data set complied for AntT data base in May 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Mount Overlord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,LOI,Total,,Element,Ba,Ce,Co,Cr,Cs,Cu,Eu,Ga,Hf,La,Lu,Nb,Ni,Pb,Rb,Sb,Sc,Se,Sm,Sr,Ta,Tb,Th,U,Y,Yb,Zn,Zr
81510,1,Basanite,Mount Overlord,LeMasurier and Thomson,Table A.8.1,,XRF,,Total Fe expressed as FeO,Tephra Weight %,45.6,2.53,15.26,11.48,0.2,8.34,9.65,3.38,1.42,0.84,-0.07,98.63,,Tephra ppm,524,125,46,392,0.5,50,2.9,20,5.8,63,0.3,93,160,2,40,0.1,22,0.8,8.8,887,5.5,1.2,7,1,29,2.3,112,294
81422,2,Mugearite,Mount Overlord,LeMasurier and Thomson,Table A.8.1,,XRF,,Total Fe expressed as FeO,Tephra Weight %,52.6,1.78,18.31,8.22,0.2,2.73,5.32,6.33,2.97,0.66,0.73,99.85,,Tephra ppm,731,174,16,25,1.2,13,3.2,25,11,92,0.5,133,15,9,73,0.2,25,1.2,11,948,8.9,1.3,18,4,37,3.8,121,589
81428,3,Phonolite,Mount Overlord,LeMasurier and Thomson,Table A.8.1,,XRF,,Total Fe expressed as FeO,Tephra Weight %,54.78,1.01,19.03,6.63,0.21,1.34,3.65,7.72,3.85,0.42,0.52,99.16,,Tephra ppm,776,217,8,3,2,10,2.8,27,15,119,0.7,186,10,14,126,0.4,3.7,1.7,11,750,12,1.3,31,6,46,4.4,132,832
81442,4,Trachyte,Mount Overlord,LeMasurier and Thomson,Table A.8.1,,XRF,,Total Fe expressed as FeO,Tephra Weight %,58.96,0.68,18.24,5.27,0.17,0.81,2.21,6.7,4.98,0.22,0.91,99.15,,Tephra ppm,545,231,4,8,3,10,2.1,28,19,128,0.7,238,10,17,159,0.3,4.4,2,13,229,15,1.5,32,6,54,5,141,943
81435a,5,Comendite,Mount Overlord,LeMasurier and Thomson,Table A.8.1,,XRF,,Total Fe expressed as FeO,Tephra Weight %,75.09,0.27,11.31,3.21,0.08,0.06,0.38,5,4.7,0.02,0.22,100.35,,Tephra ppm,-99,-99,-99,-99,-99,10,-99,30,-99,-99,-99,166,10,32,247,-99,-99,-99,-99,3.4,-99,-99,37,7,89,-99,168,896
81473,1,Essexite,Mount Overlord,LeMasurier and Thomson,Table A.8.2,,XRF,,Total Fe expressed as FeO,Tephra Weight %,37.91,3.92,13.66,16.98,0.23,7.61,13.48,2.32,0.4,2.89,0,98.7,,Tephra ppm,241,159,54,81,1.7,60,4.9,19,16,65,0.3,33,28,-99,9.2,-99,19,0.3,16,1658,13,1.7,-99,1,38,2,112,105
81476,2,Anorthosite,Mount Overlord,LeMasurier and Thomson,Table A.8.2,,XRF,,Total Fe expressed as FeO,Tephra Weight %,50.5,1.86,17.76,8.7,0.22,2.85,6.12,6.27,2.64,0.77,0.88,98.57,,Tephra ppm,1056,209,20,20,1,-99,3.9,-99,9.5,109,0.5,147,-99,5,71,0.2,11,1.8,14,1139,10,1.5,14,4,43,4.3,-99,450
81480,3,Sodalite syenite,Mount Overlord,LeMasurier and Thomson,Table A.8.2,,XRF,,Total Fe expressed as FeO,Tephra Weight %,60.37,0.75,17.36,4.85,0.18,1.22,3.42,6.01,4.08,0.38,0.27,98.89,,Tephra ppm,1348,231,4,6,1.6,-99,2.6,-99,8.9,119,0.6,120,-99,14,127,0.2,5,1.4,14,444,7.7,1.6,28,4,51,4.3,-99,393
