#Data set complied for AntT data base in May 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk  Mount Takahe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,,,,,,,,,,,,,,
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,H2O-,F,CO2,Total,Element,Ba,Ce,Co,Cr,Cu,Ga,La,Nb,Ni,Pb,Rb,Sr,Th,U,V,Y,Zn,Zr,CIPW Norms,Q,C,or,ab,an,ne,ac,ns,di,wo,hy,ol,mt,hm,il,ap,Phenocrysts %,Plag,Ca-Cpx,Oliv,Opaq,Groundmass %,Plag,Alk fsp,Ca-Cpx,Na-Cpx,Amph,Oliv,Opaq,Glass/matr,% Phenocrysts
67-65B,1,Basanite,Stauffer Bluff,LeMasurier and Thomson,Table B.2.1,,wet chemistry,H.B. Wiik,FeO determined by potassium dichromate titration and F by SIE,Tephra Weight %,46.34,2.85,17.45,3.46,9.97,0.22,4.59,8.57,4.37,1.34,0.8,0.69,0.09,-99,0,100.74,Tephra ppm,766,125,28,6,26,21,38,41,6,3,19,735,3,0,258,36,100,196,Tephra Weight %,0,0,7.92,26.44,24.05,5.7,0,0,10.94,5.53,0,12.63,5.02,0,5.41,1.9,,7,-99,0.3,0.1,,51.4,-99,15,-99,-99,9,15.8,1.6,7.8
67-67A,2,Hawaiite,roper Point,LeMasurier and Thomson,Table B.2.1,,wet chemistry,H.B. Wiik,FeO determined by potassium dichromate titration and F by SIE,Tephra Weight %,48.13,2,17.15,3.24,9.55,0.25,4,7.57,4.81,2.02,0.57,0.75,0.07,-99,0,100.11,Tephra ppm,641,141,32,6,25,21,65,53,0,7,33,560,0,0,218,46,141,259,Tephra Weight %,0,0,11.94,26.92,19.24,7.46,0,0,12.14,6.09,0,11.78,4.7,0,3.8,1.35,,1.2,0.2,0.8,-99,,19.8,-99,1.2,-99,-99,5.6,-99,71.2,7.6
85-22c,3,Mugearite,Oeschger Bluff,LeMasurier and Thomson,Table B.2.1,,XRF,"U. of Nottingham, England",FeO determined by potassium dichromate titration and F by SIE,Tephra Weight %,52.2,2.32,15.98,2.11,8.32,0.25,3.53,6.58,4.55,2.12,0.66,-99,-99,0.05,-99,99.57,Tephra ppm,3196,73,18,42,34,23,42,36,21,8,19,611,4,0,163,33,83,178,Tephra Weight %,0,0,12.53,38.5,16.92,0,0,0,9.49,0,6.39,5.8,3.06,0,4.41,1.53,,,,,,,,,,,,,,,
85-18c,4,Trachyte,Moll Spur,LeMasurier and Thomson,Table B.2.1,,XRF,"U. of Nottingham, England",FeO determined by potassium dichromate titration and F by SIE,Tephra Weight %,59.35,1.03,14.74,1.65,7.36,0.3,0.6,2.2,7.27,4.73,0.28,-99,-99,0.04,-99,99.46,Tephra ppm,1044,178,7,0,6,28,98,109,2,10,61,88,10,2,31,63,168,477,Tephra Weight %,0,0,27.95,44.64,0,2.63,4.77,1.54,7.96,0,0,7.42,0,0,1.96,0.65,,,,,,,,,,,,,,,
85-13A,5,"Trachyte, obsidian",Bucher Rim,LeMasurier and Thomson,Table B.2.1,,XRF,"U. of Nottingham, England",FeO determined by potassium dichromate titration and F by SIE,Tephra Weight %,59.9,0.86,14.74,1.62,6.84,0.32,0.4,1.63,7.59,4.94,0.16,-99,-99,0.03,-99,99.38,Tephra ppm,399,183,0,7,4,33,96,121,4,11,72,17,17,3,21,66,171,536,Tephra Weight %,0,0,29.19,45.86,0,1.33,4.69,2.46,6.2,0,0,7.26,0,0,1.63,0.37,,,,,,,,,,,,,,,
67-65c,6,Trachyte,Stauffer Bluff,LeMasurier and Thomson,Table B.2.1,,wet chemistry,H.B. Wiik,FeO determined by potassium dichromate titration and F by SIE,Tephra Weight %,59.94,1.1,16.62,2.26,5.31,0.26,0.76,1.86,5.64,4.1,0.23,0.79,0.18,0.05,0,99.1,Tephra ppm,1733,192,3,13,5,36,87,136,5,15,102,54,14,2,30,59,170,650,Tephra Weight %,3.39,0.08,24.54,51.3,7.83,0,0,0,0,0,7.72,0,2.39,0,1.55,0.49,Phenocrysts %,-99,-99,-99,-99,Groundmass %,-99,66,-99,7.6,15.1,7.2,0.4,3.7,0
85-25A,7,Trachyte,Knezevich Rock,LeMasurier and Thomson,Table B.2.1,,XRF,"U. of Nottingham, England",FeO determined by potassium dichromate titration and F by SIE,Tephra Weight %,60.9,0.38,6.42,4.25,9.71,0.63,0.03,0.62,11.8,3.7,0.13,-99,-99,0.38,-99,99.81,Tephra ppm,81,1112,6,0,11,48,614,581,12,52,388,12,97,20,0,350,809,3536,Tephra Weight %,14.49,0,21.87,12.42,0,0,12.3,17.1,1.98,0,17.4,0,0,0,0.72,0.3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
