#Data set complied for AntT data base in May 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Mount Waesche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,H2O-,F,CO2,Cl,Total,Element,Ba,Ce,Co,Cr,Cu,Ga,La,Nb,Ni,Pb,Rb,Sr,Th,U,V,Y,Zn,Zr
33C,1,Hawaiite,"shield lava, Mount Waesche",LeMasurier and Thomson,Table B.10.1,,wet chemisry,H.B. Wiik,,tephra weight %,48.17,2.18,18.58,-99,5.25,6.22,0.21,3.93,9.62,4.12,1.36,0.62,0.12,0.08,0.11,0,-99,100.57,tephra ppm,446,96,38,24,53,21,54,71,9,7,29,630,4,3,197,33,85,212
34A,2,Hawaiite,"shield lava, Mount Waesche",LeMasurier and Thomson,Table B.10.1,,wet chemisry,H.B. Wiik,,tephra weight %,48.28,2.21,17.65,-99,3.18,7.79,0.19,3.55,9.7,4.18,1.43,0.63,0,0,0.08,0,-99,98.87,tephra ppm,482,174,-99,7,-99,-99,93,11,8,-99,168,477,26,2,38,9,-99,304
41BA,3,Hawaiite,"cognate inclusion, Mount Waesche",LeMasurier and Thomson,Table B.10.1,,wet chemisry,H.B. Wiik,,tephra weight %,48.28,1.87,19.14,-99,7.04,3.97,0.15,3.22,9.58,4.3,1.11,0.48,1.1,0,0.05,0,-99,100.3,tephra ppm,378,79,34,25,34,23,39,38,14,5,21,497,3,0,215,29,67,179
41A,4,Hawaiite,"shield lava, Mount Waesche",LeMasurier and Thomson,Table B.10.1,,wet chemisry,H.B. Wiik,,tephra weight %,49.46,1.82,18.48,-99,4.82,5.94,0.16,3.69,9.39,4.26,1.28,0.44,0.64,0.33,0.07,0,-99,100.45,tephra ppm,452,96,-99,64,-99,-99,36,46,23,-99,131,478,2,1,165,33,-99,234
34BA,5,Ne-Mugearite,"parasitic cone lava, Mount Waesche",LeMasurier and Thomson,Table B.10.1,,wet chemisry,H.B. Wiik,,tephra weight %,51.27,1.83,17.02,-99,2.97,7.51,0.23,2.42,6.7,5.78,2.07,0.67,0,0,0.12,0,-99,98.58,tephra ppm,752,147,-99,25,-99,-99,57,97,5,-99,45,574,5,3,57,48,-99,338
35A,6,Benmoreite,"parasitic cone lava, Mount Waesche",LeMasurier and Thomson,Table B.10.1,,wet chemisry,H.B. Wiik,,tephra weight %,54,1.75,16.4,-99,3.1,7,0.13,2.2,5.5,7,2.4,0.5,0,0,0.18,0,-99,100.16,tephra ppm,616,148,11,0,24,25,71,106,3,5,47,405,8,3,74,51,105,434
32A,7,Comendite vitrophyre,Chang Peak,LeMasurier and Thomson,Table B.10.1,,wet chemisry,H.B. Wiik,,tephra weight %,71.69,0.25,10.79,-99,2.02,2.6,0.1,2.04,0.77,5.51,4.56,0.02,0.24,0,0.32,0,-99,100.59,tephra ppm,64,473,3,9,7,37,214,286,8,57,315,13,55,13,4,217,358,2086
32,8,Cemendite glass,Chang Peak,LeMasurier and Thomson,Table B.10.1,,wet chemisry,H.B. Wiik,,tephra weight %,72.8,0.18,10.62,-99,2.38,1.38,0.06,0.11,0.22,5.01,4.38,0,0,0,0,0,-99,99.52,tephra ppm,22,291,0,0,0,35,142,219,3,53,341,10,51,11,5,170,273,1557
32A,1,feldspar,"core, Chang Peak",LeMasurier and Thomson,Table B.10.3,,WDS electron microprobe,"Y. Kawachi, U. of Otago, New Zealand",total Fe expressed as FeO,tephra weight %,67.68,-99,18.35,-99,-99,0.29,-99,-99,-99,6.56,6.88,-99,-99,-99,-99,-99,-99,99.77,tephra ppm,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
